OF,Rajai Davis,3,38,DET@OAK,"$3,300 ",Add
3B,Luis Valbuena,2,45,CHC@SFG,"$3,300 ",Add
1B,Brandon BeltDL,2.7,35,CHC@SFG,"$3,300 ",Add
OF,Eric YoungDL,2.5,42,PIT@NYM,"$3,200 ",Add
OF,Jayson Werth,2.4,51,MIA@WAS,"$3,200 ",Add
OF,Denard Span,2.3,44,MIA@WAS,"$3,200 ",Add
OF,Matt Holliday,2.5,50,NYY@STL,"$3,200 ",Add
OF,Junior Lake,2,46,CHC@SFG,"$3,200 ",Add
2B,Dustin Pedroia,2.4,49,BOS@ATL,"$3,200 ",Add
OF,Josh Reddick,1.7,45,DET@OAK,"$3,200 ",Add
SS,Xander Bogaerts,2.1,48,BOS@ATL,"$3,200 ",Add
3B,Eric Chavez,1.2,34,SDP@ARI,"$3,200 ",Add
C,Wilin Rosario,1.8,32,COL@PHI,"$3,200 ",Add
OF,Christian Yelich,2.6,51,MIA@WAS,"$3,200 ",Add
2B,Jurickson ProfarDL,1.6,85,TEX@MIN,"$3,200 ",Add
OF,Avisail GarciaDL,2.8,8,CLE@CWS,"$3,200 ",Add
OF,Billy Hamilton,2.2,45,CIN@LOS,"$3,200 ",Add
SS,Starlin Castro,2.4,49,CHC@SFG,"$3,200 ",Add
2B,Rickie Weeks,1.1,37,BAL@MIL,"$3,100 ",Add
3B,Chase Headley,1.9,35,SDP@ARI,"$3,100 ",Add
2B,Neil Walker,2.6,50,PIT@NYM,"$3,100 ",Add
OF,Steve Souza,0,8,MIA@WAS,"$3,100 ",Add
OF,Nyjer MorganDL,2.6,15,CLE@CWS,"$3,100 ",Add
2B,Omar Infante,2.3,31,HOU@KAN,"$3,100 ",Add
OF,Carlos BeltranDL,2.2,33,NYY@STL,"$3,100 ",Add
C,Josmil Pinto,2.4,35,TEX@MIN,"$3,100 ",Add
OF,Jonny Gomes,2,38,BOS@ATL,"$3,100 ",Add
1B,Adam Lind,2.5,26,TAM@TOR,"$3,100 ",Add
OF,Michael Saunders,1.8,45,LAA@SEA,"$3,100 ",Add
C,John Jaso,2,38,DET@OAK,"$3,100 ",Add
C,Geovany SotoDL,2,54,TEX@MIN,"$3,100 ",Add
SS,Erick Aybar,2.2,48,LAA@SEA,"$3,100 ",Add
OF,Coco Crisp,2.6,38,DET@OAK,"$3,100 ",Add
3B,Matt Carpenter,2.3,53,NYY@STL,"$3,100 ",Add
SS,Elvis Andrus,2.4,51,TEX@MIN,"$3,100 ",Add
C,A.J. Pierzynski,1.9,41,BOS@ATL,"$3,100 ",Add
2B,Anthony Rendon,2.3,56,MIA@WAS,"$3,100 ",Add
SS,Didi Gregorius,0,2,SDP@ARI,"$3,100 ",Add
2B,Daniel Murphy,2.7,49,PIT@NYM,"$3,100 ",Add
OF,Starling Marte,2.5,50,PIT@NYM,"$3,100 ",Add
OF,Angel Pagan,2.6,46,CHC@SFG,"$3,100 ",Add
C,Alex Avila,1.9,38,DET@OAK,"$3,100 ",Add
OF,Michael Bourn,2.3,32,CLE@CWS,"$3,100 ",Add
2B,Ben ZobristDL,2.1,43,TAM@TOR,"$3,100 ",Add
3B,Kyle Seager,2.5,47,LAA@SEA,"$3,100 ",Add
OF,Carl Crawford,2.2,43,CIN@LOS,"$3,100 ",Add
OF,Josh Willingham,2,7,TEX@MIN,"$3,100 ",Add
3B,Aramis RamirezDL,2,34,BAL@MIL,"$3,000 ",Add
3B,David Freese,1.5,30,LAA@SEA,"$3,000 ",Add
C,Francisco Pena,0,1,HOU@KAN,"$3,000 ",Add
C,Jason Castro,2.1,43,HOU@KAN,"$3,000 ",Add
OF,Kole Calhoun,2.3,19,LAA@SEA,"$3,000 ",Add
C,Derek Norris,2.6,41,DET@OAK,"$3,000 ",Add
C,Yasmani Grandal,1.7,39,SDP@ARI,"$3,000 ",Add
C,Miguel Montero,2.2,48,SDP@ARI,"$3,000 ",Add
2B,Greg Garcia,1.1,7,NYY@STL,"$3,000 ",Add
OF,David Murphy,2.3,48,CLE@CWS,"$3,000 ",Add
3B,Will MiddlebrooksDL,1.8,21,BOS@ATL,"$3,000 ",Add
1B,Mark Reynolds,2.3,44,BAL@MIL,"$3,000 ",Add
2B,Jason KipnisDL,2.6,27,CLE@CWS,"$3,000 ",Add
3B,Trevor Plouffe,2.6,47,TEX@MIN,"$3,000 ",Add
OF,B.J. Upton,2,47,BOS@ATL,"$3,000 ",Add
1B,Anthony Rizzo,2.9,49,CHC@SFG,"$3,000 ",Add
C,Yan Gomes,2.2,44,CLE@CWS,"$3,000 ",Add
2B,Emilio Bonifacio,1.9,55,CHC@SFG,"$3,000 ",Add
C,Hank Conger,2.3,24,LAA@SEA,"$3,000 ",Add
OF,Torii Hunter,2.4,42,DET@OAK,"$3,000 ",Add
3B,Yangervis Solarte,2,55,NYY@STL,"$3,000 ",Add
SS,Jed Lowrie,2.2,48,DET@OAK,"$3,000 ",Add
OF,Randal Grichuk,0.6,9,NYY@STL,"$3,000 ",Add
OF,Adam Eaton,2.6,34,CLE@CWS,"$3,000 ",Add
C,Chris Iannetta,2.6,32,LAA@SEA,"$3,000 ",Add
1B,Eric Campbell,1.8,11,PIT@NYM,"$3,000 ",Add
OF,Alex Gordon,2.3,50,HOU@KAN,"$3,000 ",Add
OF,Tyler Collins,0.1,7,DET@OAK,"$3,000 ",Add
OF,Alfonso Soriano,1.8,48,NYY@STL,"$3,000 ",Add
2B,Kolten Wong,2.1,28,NYY@STL,"$3,000 ",Add
1B,Jesus Aguilar,0.9,4,CLE@CWS,"$3,000 ",Add
3B,Pedro Baez,0,1,CIN@LOS,"$3,000 ",Add
SS,Rafael FurcalDL,0,0,MIA@WAS,"$3,000 ",Add
3B,Pedro Alvarez,2.3,50,PIT@NYM,"$2,900 ",Add
2B,Brandon Hicks,2,44,CHC@SFG,"$2,900 ",Add
C,Russell Martin,2.7,19,PIT@NYM,"$2,900 ",Add
2B,Gordon Beckham,2.2,30,CLE@CWS,"$2,900 ",Add
OF,Marcell Ozuna,2.3,50,MIA@WAS,"$2,900 ",Add
OF,Oswaldo Arcia,1.2,5,TEX@MIN,"$2,900 ",Add
OF,Austin Jackson,2.4,44,DET@OAK,"$2,900 ",Add
3B,Conor Gillaspie,2.5,32,CLE@CWS,"$2,900 ",Add
2B,Cole Figueroa,0.6,7,TAM@TOR,"$2,900 ",Add
OF,Khris Davis,2.2,46,BAL@MIL,"$2,900 ",Add
2B,Donnie Murphy,1.4,28,TEX@MIN,"$2,900 ",Add
1B,Adam LaRoche,3.1,34,MIA@WAS,"$2,900 ",Add
3B,Cody AscheDL,1.9,40,COL@PHI,"$2,900 ",Add
SS,Erisbel Arruebarrena,1.6,4,CIN@LOS,"$2,900 ",Add
3B,Manny Machado,1.6,22,BAL@MIL,"$2,900 ",Add
OF,Juan Lagares,2.1,36,PIT@NYM,"$2,900 ",Add
SS,Brandon Crawford,2.2,50,CHC@SFG,"$2,900 ",Add
2B,Ryan Raburn,1.1,34,CLE@CWS,"$2,900 ",Add
SS,Daniel Santana,1.8,11,TEX@MIN,"$2,900 ",Add
2B,Derek Dietrich,2.3,38,MIA@WAS,"$2,900 ",Add
OF,Ichiro Suzuki,1.3,39,NYY@STL,"$2,900 ",Add
OF,James Jones,2.1,22,LAA@SEA,"$2,900 ",Add
2B,Brandon Phillips,1.7,48,CIN@LOS,"$2,900 ",Add
OF,Carlos Quentin,2.6,8,SDP@ARI,"$2,900 ",Add
OF,Norichika Aoki,2,48,HOU@KAN,"$2,900 ",Add
OF,Shane VictorinoDL,2.1,21,BOS@ATL,"$2,900 ",Add
OF,Justin Maxwell,0.5,16,HOU@KAN,"$2,900 ",Add
OF,Desmond Jennings,2.6,47,TAM@TOR,"$2,900 ",Add
1B,Joe Mauer,2.3,43,TEX@MIN,"$2,900 ",Add
OF,Lorenzo Cain,2,36,HOU@KAN,"$2,900 ",Add
SS,Jean Segura,2.1,48,BAL@MIL,"$2,900 ",Add
OF,Mitch Moreland,1.8,42,TEX@MIN,"$2,800 ",Add
C,Jarrod Saltalamacchia,2.1,45,MIA@WAS,"$2,800 ",Add
OF,Dan Robertson,0.4,9,TEX@MIN,"$2,800 ",Add
OF,J.D. Martinez,2.1,18,DET@OAK,"$2,800 ",Add
C,Carlos Ruiz,2.3,38,COL@PHI,"$2,800 ",Add
1B,Matt Adams,1.9,50,NYY@STL,"$2,800 ",Add
OF,Robbie Grossman,1.5,15,HOU@KAN,"$2,800 ",Add
C,Salvador Perez,1.8,43,HOU@KAN,"$2,800 ",Add
OF,Allen Craig,1.7,56,NYY@STL,"$2,800 ",Add
2B,Marco ScutaroDL,1.8,127,CHC@SFG,"$2,800 ",Add
1B,Gaby Sanchez,1.8,37,PIT@NYM,"$2,800 ",Add
OF,Ben Revere,1.8,42,COL@PHI,"$2,800 ",Add
C,Adrian Nieto,0.8,19,CLE@CWS,"$2,800 ",Add
C,Martin Maldonado,2.1,14,BAL@MIL,"$2,800 ",Add
3B,Vince Belnome,0,0,TAM@TOR,"$2,800 ",Add
OF,Anthony Gose,1.9,14,TAM@TOR,"$2,800 ",Add
1B,Mike NapoliDL,2.5,43,BOS@ATL,"$2,800 ",Add
SS,Luis Sardinas,0.7,10,TEX@MIN,"$2,800 ",Add
1B,Eric Hosmer,2,50,HOU@KAN,"$2,800 ",Add
SS,Grant Green,1.7,17,LAA@SEA,"$2,800 ",Add
3B,Brett Lawrie,1.8,54,TAM@TOR,"$2,800 ",Add
OF,Gregor Blanco,1,39,CHC@SFG,"$2,800 ",Add
3B,Matt Dominguez,1.9,51,HOU@KAN,"$2,800 ",Add
OF,Grady Sizemore,1.5,43,BOS@ATL,"$2,800 ",Add
OF,Jarrod Dyson,1.3,31,HOU@KAN,"$2,800 ",Add
OF,Scott Van Slyke,1.8,30,CIN@LOS,"$2,800 ",Add
OF,Dayan Viciedo,2.3,50,CLE@CWS,"$2,800 ",Add
SS,Alcides Escobar,2.3,50,HOU@KAN,"$2,800 ",Add
SS,Jonathan Villar,2,48,HOU@KAN,"$2,800 ",Add
OF,Andre Ethier,1.6,44,CIN@LOS,"$2,800 ",Add
OF,Scott Hairston,1.1,11,MIA@WAS,"$2,800 ",Add
C,Matt WietersDL,2.7,26,BAL@MIL,"$2,800 ",Add
C,Tucker Barnhart,0.4,10,CIN@LOS,"$2,800 ",Add
OF,Dustin Ackley,2,45,LAA@SEA,"$2,700 ",Add
OF,Chris Young,1.8,35,PIT@NYM,"$2,700 ",Add
3B,Ian StewartDL,1.4,24,LAA@SEA,"$2,700 ",Add
C,Wilson Ramos,1.3,15,MIA@WAS,"$2,700 ",Add
OF,Andy DirksDL,1.7,135,DET@OAK,"$2,700 ",Add
SS,Chris Owings,1.7,47,SDP@ARI,"$2,700 ",Add
SS,Jason Bartlett,1.1,3,TEX@MIN,"$2,700 ",Add
2B,Nick Franklin,0.9,12,LAA@SEA,"$2,700 ",Add
OF,Franklin Gutierrez,2.4,41,LAA@SEA,"$2,700 ",Add
2B,Ed Lucas,1.7,16,MIA@WAS,"$2,700 ",Add
SS,Derek Jeter,1.6,43,NYY@STL,"$2,700 ",Add
OF,Craig Gentry,1.5,38,DET@OAK,"$2,700 ",Add
OF,Nolan ReimoldDL,1.4,40,BAL@MIL,"$2,700 ",Add
OF,Sam FuldDL,2.3,20,TEX@MIN,"$2,700 ",Add
OF,Peter Bourjos,1.4,38,NYY@STL,"$2,700 ",Add
OF,Gerardo Parra,2.1,52,SDP@ARI,"$2,700 ",Add
C,A.J. EllisDL,1.2,15,CIN@LOS,"$2,700 ",Add
2B,Rougned Odor,1.9,14,TEX@MIN,"$2,700 ",Add
OF,Jason Heyward,2.1,48,BOS@ATL,"$2,700 ",Add
3B,Mike Olt,1.8,42,CHC@SFG,"$2,700 ",Add
C,Wil Nieves,2,10,COL@PHI,"$2,700 ",Add
3B,Juan UribeDL,2.1,40,CIN@LOS,"$2,700 ",Add
SS,Jose IglesiasDL,1.6,109,DET@OAK,"$2,700 ",Add
C,Hector Sanchez,1.4,32,CHC@SFG,"$2,700 ",Add
OF,Corey HartDL,1.9,37,LAA@SEA,"$2,700 ",Add
C,Mike Zunino,2,39,LAA@SEA,"$2,600 ",Add
OF,Matt Joyce,2,48,TAM@TOR,"$2,600 ",Add
1B,C.J. Cron,1.7,19,LAA@SEA,"$2,600 ",Add
2B,Justin Turner,1.2,34,CIN@LOS,"$2,600 ",Add
3B,Marcus Semien,2,41,CLE@CWS,"$2,600 ",Add
C,Kurt Suzuki,2.2,41,TEX@MIN,"$2,600 ",Add
1B,Darin Ruf,0.1,3,COL@PHI,"$2,600 ",Add
1B,Billy Butler,1.6,50,HOU@KAN,"$2,600 ",Add
OF,David DeJesus,2,44,TAM@TOR,"$2,600 ",Add
2B,Josh Harrison,1.6,36,PIT@NYM,"$2,600 ",Add
OF,Raul Ibanez,1.6,41,LAA@SEA,"$2,600 ",Add
C,Tony Sanchez,1.6,21,PIT@NYM,"$2,600 ",Add
1B,Ryan Howard,2.5,47,COL@PHI,"$2,600 ",Add
C,Welington Castillo,1.9,40,CHC@SFG,"$2,600 ",Add
OF,Brandon GuyerDL,1.1,28,TAM@TOR,"$2,600 ",Add
1B,Nick Swisher,1.8,49,CLE@CWS,"$2,600 ",Add
3B,Casey McGehee,2,51,MIA@WAS,"$2,600 ",Add
2B,Jemile Weeks,1.7,3,BAL@MIL,"$2,600 ",Add
1B,Steve Pearce,2.1,20,BAL@MIL,"$2,600 ",Add
OF,Wil Myers,1.9,52,TAM@TOR,"$2,600 ",Add
OF,Jon Jay,1.4,43,NYY@STL,"$2,600 ",Add
SS,Leury Garcia,0.9,28,CLE@CWS,"$2,600 ",Add
OF,Cameron Maybin,1.3,24,SDP@ARI,"$2,600 ",Add
OF,Brandon Barnes,1.2,44,COL@PHI,"$2,600 ",Add
2B,Jeff Baker,1.3,31,MIA@WAS,"$2,600 ",Add
OF,Daniel Nava,1.1,22,BOS@ATL,"$2,600 ",Add
OF,Bobby Abreu,0.9,25,PIT@NYM,"$2,500 ",Add
C,Dioner Navarro,1.7,41,TAM@TOR,"$2,500 ",Add
3B,Kelly Johnson,1.4,41,NYY@STL,"$2,500 ",Add
OF,Reed Johnson,1.2,37,MIA@WAS,"$2,500 ",Add
OF,Xavier Nady,0.9,22,SDP@ARI,"$2,500 ",Add
2B,Jose Ramirez,0.1,11,CLE@CWS,"$2,500 ",Add
2B,Brian Roberts,1.8,43,NYY@STL,"$2,500 ",Add
3B,Michael AlmanzarDL,0,0,BAL@MIL,"$2,500 ",Add
C,Caleb Joseph,0,9,BAL@MIL,"$2,500 ",Add
C,Rene Rivera,1.4,24,SDP@ARI,"$2,500 ",Add
2B,Alexander Guerrero,-0.1,2,CIN@LOS,"$2,500 ",Add
2B,Dean Anna,0.8,13,NYY@STL,"$2,500 ",Add
C,Ryan Lavarnway,-13.5,1,BOS@ATL,"$2,500 ",Add
SS,Munenori Kawasaki,1.6,3,TAM@TOR,"$2,500 ",Add
OF,Nick Markakis,2.1,49,BAL@MIL,"$2,500 ",Add
OF,Cody Ross,0.8,29,SDP@ARI,"$2,500 ",Add
C,Jeff Mathis,1.6,17,MIA@WAS,"$2,500 ",Add
OF,Nate Schierholtz,1.5,43,CHC@SFG,"$2,500 ",Add
3B,Jeff Keppinger,1.3,117,CLE@CWS,"$2,500 ",Add
C,Tuffy Gosewisch,1.4,9,SDP@ARI,"$2,500 ",Add
OF,Tony Gwynn,0.8,40,COL@PHI,"$2,500 ",Add
1B,Ike Davis,1.9,45,PIT@NYM,"$2,500 ",Add
1B,Justin Smoak,2.1,50,LAA@SEA,"$2,500 ",Add
OF,Leonys Martin,1.9,48,TEX@MIN,"$2,500 ",Add
OF,Domonic Brown,1.6,47,COL@PHI,"$2,500 ",Add
SS,J.J. Hardy,1.6,41,BAL@MIL,"$2,500 ",Add
C,Gerald Laird,1,19,BOS@ATL,"$2,400 ",Add
OF,Chris Denorfia,1.5,47,SDP@ARI,"$2,400 ",Add
OF,L.J. Hoes,1.1,28,HOU@KAN,"$2,400 ",Add
2B,Skip Schumaker,1.6,17,CIN@LOS,"$2,400 ",Add
C,Bryan Holaday,1.2,18,DET@OAK,"$2,400 ",Add
2B,Stefen Romero,1.2,35,LAA@SEA,"$2,400 ",Add
3B,Nick Punto,1.1,32,DET@OAK,"$2,400 ",Add
C,Tyler Flowers,1.8,45,CLE@CWS,"$2,400 ",Add
C,Ryan Doumit,0.6,30,BOS@ATL,"$2,400 ",Add
3B,Mike Moustakas,1.3,40,HOU@KAN,"$2,400 ",Add
SS,Willie Bloomquist,0.8,20,LAA@SEA,"$2,400 ",Add
3B,Chris Johnson,1.3,49,BOS@ATL,"$2,400 ",Add
SS,Eduardo Escobar,1.8,37,TEX@MIN,"$2,400 ",Add
OF,Marc Krauss,1.3,37,HOU@KAN,"$2,400 ",Add
C,Tony Cruz,1.4,10,NYY@STL,"$2,400 ",Add
2B,Steve Tolleson,2,20,TAM@TOR,"$2,400 ",Add
2B,Jedd Gyorko,1.4,50,SDP@ARI,"$2,400 ",Add
1B,Andrew Brown,1.5,10,PIT@NYM,"$2,400 ",Add
OF,Darin Mastroianni,0.5,7,TAM@TOR,"$2,400 ",Add
C,Travis D'ArnaudDL,1.3,31,PIT@NYM,"$2,400 ",Add
C,George Kottaras,12.8,1,CLE@CWS,"$2,400 ",Add
SS,Everth Cabrera,1.9,50,SDP@ARI,"$2,400 ",Add
OF,Logan MorrisonDL,0.6,8,LAA@SEA,"$2,400 ",Add
OF,Kevin Kiermaier,1.1,6,TAM@TOR,"$2,400 ",Add
1B,Lucas Duda,1.9,45,PIT@NYM,"$2,400 ",Add
3B,Martin Prado,1.7,52,SDP@ARI,"$2,400 ",Add
OF,Chris Colabello,2,40,TEX@MIN,"$2,400 ",Add
3B,Brock Holt,2.4,16,BOS@ATL,"$2,400 ",Add
SS,Mike Aviles,1.7,42,CLE@CWS,"$2,400 ",Add
2B,Darwin Barney,0.9,34,CHC@SFG,"$2,400 ",Add
OF,Chris Carter,1.8,45,HOU@KAN,"$2,400 ",Add
2B,Ryan Flaherty,1.2,31,BAL@MIL,"$2,400 ",Add
3B,Danny Valencia,1.8,18,HOU@KAN,"$2,400 ",Add
OF,Shane Robinson,0.3,22,NYY@STL,"$2,400 ",Add
C,Robinson Chirinos,1.3,30,TEX@MIN,"$2,400 ",Add
